case_name,teacher_shape_type,baryon_profile_type,best_model_by_bic,mse_baryon,mse_tdf_simple,mse_tdf_core,mse_nfw,bic_baryon,bic_tdf_simple,bic_tdf_core,bic_nfw,rel_err_tdf_simple_percent,rel_err_tdf_core_percent,rel_err_nfw_percent,tdf_best_flag,tdf_core_best_flag,nfw_best_flag,warnings,teacher_params,dataset_mode,is_real_observational_data
fast_rising_flat,fast_rising_flat,saturating_disk,tdf_core,975.8337144087687,7.557536919915045,1.0425526551416417,3.7462234056015085,4470.113414359409,59.933693296178305,12.005252844732706,36.498364307461905,3.24611199127198,0.504481006895608,2.0846791924718833,False,True,False,,"{""V2"": 4500.0, ""r_core"": 1.0}",rotation_diversity_stress_test,False
slow_rising_lsb,slow_rising_lsb,exponential_like,nfw_simple,611.4268551656473,1.9529140530113323,6.042798316043377,1.8454405553258506,8365.856858375842,36.46112960439966,265.8993326913813,35.122017585965295,0.5018469524071241,4.949274825679324,0.9831842061087173,False,False,True,,"{""V2"": 3200.0, ""r0_large"": 6.0}",rotation_diversity_stress_test,False
compact_baryon_dominated,compact_baryon_dominated,compact_bulge_disk,tdf_core,8.466865728684635,0.8472265392871559,0.8588994028461954,0.8455012683088553,39.46940028851056,10.760044367035007,10.65793081233225,10.737806250936586,0.2560508016408615,0.20263146824310913,0.22621502655994366,False,True,False,,"{""alpha"": 0.05, ""r_scale"": 2.0}",rotation_diversity_stress_test,False
diffuse_baryon_dominated,diffuse_baryon_dominated,exponential_like,tdf_simple,2403.7323756121114,2.1643428601288948,16.34902690808935,2.392651983720199,15694.77608363447,20.57737195891551,265.9547258913818,20.631117568964704,0.5446640619046846,5.913212453552985,1.31557379678064,True,False,False,,"{""V2"": 7500.0, ""r0"": 6.0}",rotation_diversity_stress_test,False
declining_outer_curve,declining_outer_curve,saturating_disk,nfw_simple,117.41270984689693,11.472484698810087,10.497044106119244,2.7710202520656706,788.5462263144638,77.1744580587644,69.94162145675881,23.68593749008782,4.160132345274554,3.867691227045724,1.826589471299029,False,False,True,,"{""V2"": 5000.0, ""r0"": 2.5, ""d"": 0.4, ""r_drop"": 14.0}",rotation_diversity_stress_test,False
rising_outer_curve,rising_outer_curve,saturating_disk,tdf_simple,382.14922499922636,0.9617640114248301,3.835725147077882,0.9875301887458683,2251.848765980825,14.287643060903559,45.62717003577663,14.364755278801915,0.5343905959587048,2.6264114038764266,0.634702944957261,True,False,False,,"{""V2"": 1800.0, ""r0"": 4.0}",rotation_diversity_stress_test,False
flat_extended_curve,flat_extended_curve,exponential_like,nfw_simple,688.6849243605077,1.445718547916083,10.340797446678522,1.2282494707630294,5015.073058195228,17.675662785345256,236.7997605443405,16.11776412682069,0.858903577837246,4.355538433094465,0.4979942016497465,False,False,True,,"{""V2"": 4200.0, ""r_flat"": 9.0}",rotation_diversity_stress_test,False
inner_core_outer_flat,inner_core_outer_flat,saturating_disk,nfw_simple,436.754395412383,18.851548006669695,10.081210170385106,4.137515972232724,3333.5377572863626,161.52550582583387,82.35583778702394,51.328309040176386,5.720744200039546,4.15700770408157,2.3462345429544302,False,False,True,,"{""V2"": 3800.0, ""r_core"": 0.9, ""r_flat"": 11.0, ""fade"": 0.28}",rotation_diversity_stress_test,False
inner_cusp_outer_flat,inner_cusp_outer_flat,saturating_disk,nfw_simple,138.92928832120356,59.508475658826356,58.50455579488516,31.136212526438126,1232.0408814279879,567.1586790138199,559.3151029337315,322.8239895103209,12.544667183399921,12.48286432319409,9.138900606501922,False,False,True,,"{""Vh2"": 9000.0, ""rs"": 1.2, ""r_flat"": 12.0}",rotation_diversity_stress_test,False
low_velocity_dwarf_diverse,low_velocity_dwarf_diverse,exponential_like,tdf_core,385.220680813321,5.814589436069457,0.30164661359954453,3.689383066155866,7101.449856928537,169.95832811431384,11.941824752864122,128.22382808274548,6.589943297338861,0.4527758949334917,5.173848804241551,False,True,False,,"{""V2"": 1200.0, ""r_core"": 1.0, ""boost"": 1.1}",rotation_diversity_stress_test,False
